item_id,recommend,sentiment_analysis
1250,1.0,2
22200,1.0,2
43110,1.0,2
251610,1.0,2
227300,1.0,2
239030,1.0,2
248820,1.0,2
370360,1.0,2
237930,1.0,2
263360,1.0,1
107200,1.0,2
224500,1.0,2
250320,1.0,2
20920,1.0,2
204100,1.0,2
224600,1.0,2
207610,1.0,0
108710,1.0,2
211420,1.0,1
211820,1.0,2
730,1.0,2
204300,1.0,2
249130,1.0,1
207610,1.0,1
550,1.0,2
65800,1.0,2
220,1.0,2
730,1.0,1
730,1.0,2
72850,1.0,0
440,1.0,1
252950,1.0,2
440,1.0,1
304930,1.0,1
4000,1.0,1
42910,1.0,1
232090,1.0,2
1250,1.0,2
4000,1.0,2
304930,1.0,2
570,1.0,2
218620,1.0,2
224260,1.0,2
1250,1.0,0
440,1.0,2
730,1.0,2
440,1.0,2
49520,1.0,1
33440,0.0,1
220200,1.0,2
211820,1.0,2
440,1.0,2
218740,1.0,2
550,1.0,2
220,1.0,2
238090,1.0,0
242130,1.0,0
277430,1.0,2
8870,1.0,2
368230,1.0,0
4000,1.0,2
33930,1.0,2
359320,0.0,0
219640,1.0,2
287980,1.0,2
218620,1.0,1
208090,1.0,2
242700,1.0,1
570,0.0,1
224260,1.0,1
221100,1.0,2
570,1.0,2
331470,1.0,2
4000,1.0,2
323370,1.0,2
304930,1.0,2
12210,1.0,0
265210,1.0,1
48700,1.0,2
238460,1.0,2
34900,1.0,2
730,1.0,2
113200,1.0,2
440,1.0,1
383080,0.0,1
213670,1.0,1
105600,1.0,1
730,1.0,0
570,1.0,2
231180,1.0,2
620,1.0,2
271290,1.0,2
4000,1.0,1
317360,1.0,1
223710,1.0,1
299360,1.0,1
322330,1.0,1
1250,1.0,1
12100,1.0,1
204360,1.0,2
440,1.0,1
224260,1.0,2
440,1.0,2
304930,1.0,2
440,1.0,2
1840,1.0,1
440,1.0,2
440,1.0,2
233250,1.0,1
449140,1.0,1
368730,1.0,1
246280,1.0,1
427270,1.0,2
397100,1.0,1
248570,1.0,1
298630,1.0,1
244210,1.0,2
440,1.0,1
376920,1.0,2
257750,1.0,2
221910,1.0,1
2280,1.0,0
417860,0.0,1
218620,1.0,2
218620,1.0,2
222880,1.0,1
377160,1.0,2
211820,1.0,2
252490,1.0,0
440,1.0,2
242920,1.0,2
251990,1.0,2
344760,0.0,0
252950,1.0,1
236430,1.0,2
399730,1.0,2
550,1.0,1
,,1
377160,1.0,2
219150,1.0,2
277430,1.0,2
239820,1.0,2
17410,1.0,2
440,1.0,2
270550,1.0,2
274940,1.0,2
333930,1.0,0
440,1.0,1
730,1.0,1
294100,1.0,0
212070,1.0,0
264140,1.0,1
332800,1.0,1
319630,1.0,2
6020,1.0,0
55230,1.0,2
32430,1.0,2
377160,0.0,2
440,1.0,0
35450,1.0,2
440,1.0,2
236390,1.0,2
351570,1.0,2
212680,1.0,0
391540,1.0,2
550,1.0,0
440,1.0,1
570,1.0,1
72850,1.0,2
440,1.0,2
113400,1.0,2
440,1.0,2
200510,1.0,2
730,1.0,2
383080,1.0,2
200210,1.0,2
1250,1.0,1
,,1
304050,1.0,2
265610,1.0,2
264200,1.0,1
417860,1.0,2
333600,1.0,2
213670,1.0,2
91310,1.0,2
437220,0.0,0
210770,1.0,2
351640,1.0,2
202530,0.0,2
105600,1.0,2
440,1.0,2
47870,1.0,2
383080,1.0,2
410,1.0,2
730,1.0,2
253710,0.0,2
339280,1.0,2
271290,1.0,2
203290,1.0,2
440,1.0,2
233150,1.0,1
550,1.0,0
730,1.0,2
211820,1.0,2
440,1.0,2
346330,0.0,1
224260,1.0,2
317360,1.0,2
295550,1.0,2
250180,1.0,1
227940,1.0,0
17520,1.0,1
113420,1.0,2
320760,1.0,0
8850,1.0,2
233720,1.0,2
218620,1.0,2
730,1.0,2
219740,1.0,2
220240,1.0,2
440,1.0,2
4000,1.0,2
304930,1.0,2
333950,1.0,2
388520,1.0,2
107410,1.0,2
206210,1.0,2
221100,1.0,2
299740,0.0,0
730,1.0,2
440,1.0,1
209870,1.0,2
322170,1.0,2
304050,1.0,2
440,1.0,2
730,1.0,2
362890,1.0,2
413850,1.0,1
730,1.0,2
346110,1.0,2
570,1.0,2
311560,1.0,2
322170,1.0,2
48240,0.0,0
440,1.0,2
248570,1.0,0
264140,1.0,2
4000,1.0,2
266430,1.0,2
316010,1.0,2
249570,1.0,2
730,1.0,2
240,1.0,1
304930,1.0,1
440,1.0,2
730,1.0,1
333930,1.0,0
365590,1.0,2
264200,1.0,2
440,1.0,2
298050,0.0,2
383080,1.0,2
440,1.0,2
301520,1.0,2
243870,1.0,2
218230,0.0,0
291550,0.0,0
251570,1.0,2
221100,1.0,2
316010,1.0,2
218230,1.0,0
333930,1.0,2
222880,1.0,2
730,1.0,2
55230,1.0,2
232090,1.0,2
4000,1.0,1
206420,1.0,2
224260,1.0,2
550,1.0,2
346110,1.0,2
380770,0.0,0
454890,1.0,0
227680,0.0,2
570,0.0,1
233250,1.0,1
273350,1.0,2
730,1.0,0
440,0.0,0
730,1.0,2
570,1.0,1
730,1.0,2
370480,1.0,2
313740,1.0,2
1840,1.0,2
440,1.0,0
266210,1.0,2
369200,1.0,1
252490,0.0,0
264200,1.0,2
292030,1.0,0
287700,1.0,1
730,0.0,1
310950,1.0,1
377160,1.0,1
221380,1.0,1
333950,1.0,1
222420,0.0,1
271590,1.0,1
298110,1.0,1
222440,1.0,1
259530,1.0,1
219640,0.0,1
269210,0.0,1
317470,0.0,2
47410,1.0,2
730,1.0,1
365450,1.0,1
245620,1.0,2
70,1.0,2
359550,0.0,0
274980,1.0,2
202090,1.0,2
339280,1.0,2
314130,0.0,0
570,1.0,2
212680,1.0,2
200210,1.0,2
440,1.0,2
440,0.0,2
4000,1.0,2
211820,1.0,1
10180,1.0,1
252490,1.0,1
417860,1.0,0
251970,1.0,2
359550,1.0,0
107410,1.0,2
218230,0.0,1
437701,0.0,1
304930,1.0,1
400,1.0,2
620,1.0,2
238460,1.0,2
6060,1.0,2
440,1.0,2
730,1.0,2
265610,1.0,2
31280,1.0,2
4000,1.0,2
240,1.0,2
440,1.0,2
252490,1.0,1
8930,1.0,2
304930,1.0,2
237310,1.0,0
224260,1.0,2
230410,1.0,2
440,1.0,2
440,1.0,2
219640,0.0,0
570,1.0,2
8930,1.0,2
105600,1.0,2
221100,1.0,2
107410,1.0,2
231430,1.0,2
218620,1.0,2
225540,1.0,2
570,1.0,2
333930,0.0,1
230410,0.0,2
271590,1.0,2
218620,1.0,0
219740,1.0,0
7940,1.0,2
234190,1.0,2
10180,1.0,2
33900,1.0,2
261030,1.0,2
243470,1.0,0
302830,0.0,0
570,0.0,0
218620,0.0,1
4700,1.0,0
212680,1.0,0
304930,0.0,0
730,0.0,0
304050,1.0,2
203750,1.0,2
227940,0.0,2
355180,0.0,0
730,1.0,0
4000,1.0,1
236390,1.0,2
221100,0.0,0
365590,0.0,1
299740,1.0,2
346110,0.0,2
275850,0.0,2
400800,0.0,0
252490,0.0,2
437220,0.0,2
730,1.0,2
440,1.0,1
301520,0.0,0
433340,1.0,2
440,1.0,1
4000,1.0,2
302830,0.0,1
220200,1.0,2
242760,1.0,0
352460,1.0,2
322920,1.0,2
234792,1.0,1
252490,1.0,2
304050,0.0,0
297130,1.0,2
397570,1.0,0
550,1.0,2
206420,1.0,2
278360,0.0,2
10180,1.0,2
242760,1.0,2
304930,1.0,2
441790,1.0,2
265750,1.0,2
252490,1.0,2
4000,1.0,2
211820,1.0,2
105600,1.0,2
251570,1.0,2
730,1.0,2
233110,0.0,0
322910,0.0,2
276340,1.0,2
227940,1.0,2
304930,1.0,2
730,1.0,1
448530,1.0,2
304410,1.0,2
620,1.0,2
274920,1.0,1
211820,1.0,2
219890,1.0,2
49520,1.0,2
223510,1.0,2
440,1.0,2
252950,1.0,2
240,1.0,2
105600,1.0,2
204300,1.0,2
730,1.0,0
440,0.0,0
570,1.0,0
268750,1.0,2
570,1.0,2
570,1.0,1
271590,1.0,2
360870,1.0,2
730,1.0,2
230410,1.0,1
12900,1.0,2
301520,1.0,2
6060,1.0,2
730,1.0,2
107410,1.0,2
304930,1.0,2
335670,1.0,1
215080,1.0,2
570,1.0,0
271590,1.0,2
730,1.0,2
244160,1.0,2
270880,1.0,2
8190,1.0,2
247730,0.0,0
233630,1.0,2
303390,0.0,2
221100,1.0,2
208812,0.0,2
218620,0.0,2
243120,1.0,2
234140,1.0,1
204450,1.0,2
225260,1.0,2
50300,1.0,2
201810,1.0,2
212630,0.0,0
427820,0.0,0
500,1.0,2
440,1.0,2
49520,1.0,2
550,1.0,2
206420,1.0,2
213670,1.0,2
550,1.0,2
231040,1.0,2
221100,1.0,0
376300,0.0,2
351040,1.0,1
250600,1.0,1
227940,1.0,2
437220,1.0,2
221100,1.0,2
301520,0.0,2
264710,1.0,2
218620,1.0,2
206420,1.0,1
47790,1.0,2
570,1.0,2
236110,1.0,0
346110,1.0,0
232790,1.0,2
440,1.0,2
70,1.0,0
420,1.0,1
380,1.0,2
220,1.0,1
1250,1.0,2
339230,0.0,0
349700,1.0,2
226700,1.0,2
209160,1.0,2
219990,1.0,2
213670,1.0,2
21100,0.0,0
8190,1.0,2
215470,0.0,0
730,1.0,2
1250,1.0,1
4000,1.0,2
401650,1.0,0
35450,1.0,2
230410,1.0,2
304930,0.0,0
290020,1.0,2
248860,1.0,0
211820,1.0,2
226700,0.0,0
244850,1.0,2
298260,1.0,2
370240,0.0,0
730,1.0,2
233450,1.0,1
214420,1.0,2
365670,1.0,2
440,1.0,2
4000,1.0,2
221260,1.0,2
369070,0.0,0
91310,0.0,0
218620,1.0,2
419070,1.0,1
333930,0.0,0
287700,1.0,1
302830,0.0,1
24240,1.0,2
39800,1.0,1
250600,1.0,0
105600,1.0,0
113020,1.0,2
440,1.0,2
221100,1.0,2
238960,1.0,1
310370,1.0,2
260410,1.0,1
236390,1.0,0
221100,0.0,2
383870,1.0,2
248820,1.0,1
730,1.0,2
550,1.0,2
204030,1.0,2
440,1.0,2
383080,1.0,2
304930,1.0,2
242760,1.0,1
207230,1.0,2
9180,0.0,0
730,1.0,0
10150,1.0,1
4000,1.0,1
214950,1.0,2
218620,1.0,2
292030,1.0,2
261640,1.0,2
220240,1.0,2
271290,0.0,0
313740,1.0,2
34330,1.0,0
271590,1.0,2
570,1.0,2
291550,1.0,2
259080,1.0,2
233250,1.0,2
256350,1.0,2
249380,1.0,2
275850,0.0,2
337320,1.0,0
391540,1.0,1
265930,1.0,1
620,1.0,2
730,1.0,1
10090,1.0,2
251570,1.0,0
218680,1.0,2
252490,0.0,2
251060,0.0,0
252490,0.0,0
22370,1.0,2
307690,1.0,2
72850,1.0,0
1250,1.0,0
440,1.0,1
440,1.0,2
570,1.0,1
248610,1.0,0
208090,1.0,2
250340,1.0,2
244850,1.0,2
221640,1.0,2
104900,1.0,2
105600,1.0,2
9450,0.0,2
262410,1.0,2
222940,1.0,2
221040,1.0,2
221100,1.0,1
286570,1.0,2
263440,0.0,1
4000,1.0,2
223710,1.0,1
317360,1.0,1
108600,1.0,2
259080,1.0,2
208520,1.0,2
239660,1.0,2
304930,1.0,2
730,1.0,2
495890,1.0,1
472680,1.0,2
4000,1.0,2
295270,1.0,2
265930,1.0,2
283920,1.0,0
440,1.0,2
294650,1.0,2
432020,0.0,2
233720,1.0,2
319630,1.0,2
12120,1.0,1
241930,1.0,2
428690,1.0,2
55230,1.0,2
243470,0.0,0
227860,0.0,2
218620,1.0,2
208090,1.0,0
730,1.0,2
228280,1.0,2
240760,1.0,2
226700,1.0,1
250900,1.0,2
35450,1.0,0
9900,1.0,2
212680,1.0,2
346110,0.0,1
236370,1.0,2
381210,1.0,0
265930,0.0,0
218620,1.0,2
205100,1.0,2
570,1.0,1
271290,1.0,2
570,1.0,1
346010,1.0,2
239250,1.0,0
313120,1.0,2
211820,1.0,2
218620,1.0,0
12210,1.0,2
220240,1.0,0
17300,1.0,2
206440,1.0,2
209100,0.0,0
209000,1.0,2
218060,1.0,2
24240,1.0,1
440,1.0,2
224540,0.0,0
242860,0.0,0
47410,1.0,2
34330,0.0,0
730,1.0,2
220200,1.0,2
113020,1.0,1
105600,1.0,1
9480,1.0,2
359870,1.0,2
22230,1.0,0
203770,1.0,2
550,1.0,2
259080,1.0,2
72850,1.0,2
8870,1.0,2
230410,1.0,1
200260,1.0,1
19900,1.0,2
241540,1.0,1
220,1.0,1
227940,0.0,0
236390,0.0,2
17390,1.0,2
359320,1.0,1
317360,1.0,2
253030,1.0,2
295110,1.0,2
264710,1.0,2
274310,1.0,0
4000,1.0,2
252470,1.0,0
730,1.0,2
344770,1.0,2
22380,1.0,0
440,1.0,2
9900,1.0,2
107410,0.0,1
221640,1.0,2
202170,1.0,2
49520,1.0,0
245490,1.0,2
313120,1.0,2
113020,0.0,1
319510,0.0,0
20,0.0,0
209080,0.0,0
223470,0.0,2
417860,1.0,1
269250,1.0,2
313740,0.0,2
8190,1.0,0
377160,1.0,1
730,1.0,1
244850,1.0,2
212500,1.0,1
570,0.0,2
104900,1.0,1
12160,1.0,2
219990,1.0,2
293260,1.0,2
219640,1.0,2
214420,0.0,2
105600,1.0,1
440,1.0,1
200210,1.0,1
218130,1.0,2
252490,0.0,0
270210,1.0,2
386070,1.0,2
8930,1.0,2
330830,1.0,2
218230,1.0,2
104900,1.0,2
440,1.0,2
240,1.0,2
8980,1.0,2
31270,1.0,2
113200,1.0,2
8190,1.0,2
43000,1.0,2
18700,0.0,0
98800,1.0,0
107100,1.0,2
630,1.0,2
57300,1.0,0
213670,1.0,0
218620,1.0,0
226620,1.0,1
391540,1.0,2
570,1.0,1
730,1.0,0
105600,1.0,2
209870,1.0,2
265630,1.0,1
401920,1.0,2
33230,1.0,2
239200,1.0,2
440,1.0,0
346900,1.0,0
363970,1.0,2
65790,1.0,2
72850,1.0,2
57300,1.0,2
230410,1.0,2
630,1.0,2
70,1.0,2
8500,0.0,0
244850,1.0,2
221100,1.0,1
99900,1.0,2
250900,1.0,0
211820,1.0,2
380600,1.0,2
22380,1.0,2
252490,1.0,0
2450,0.0,1
241540,1.0,2
220200,1.0,2
47780,1.0,2
377160,1.0,1
4000,1.0,2
107410,1.0,2
230190,1.0,1
435881,1.0,2
490650,1.0,1
391270,1.0,2
301520,1.0,1
227680,0.0,2
246420,1.0,2
289130,1.0,2
234630,1.0,2
253030,1.0,2
249050,1.0,2
418340,1.0,2
223850,1.0,2
263020,1.0,0
287980,1.0,2
245550,1.0,2
570,1.0,1
304050,0.0,0
417860,1.0,1
96100,0.0,0
4000,1.0,2
570,1.0,2
440,1.0,2
230410,1.0,2
80,1.0,1
56400,1.0,2
257850,1.0,0
72850,1.0,0
105600,1.0,1
219150,1.0,2
204450,1.0,1
239140,1.0,2
322500,0.0,2
218620,1.0,2
440,1.0,2
385770,1.0,2
252630,1.0,2
212200,1.0,2
218680,1.0,2
230410,1.0,2
4000,1.0,2
346900,1.0,2
440,1.0,2
387860,1.0,2
221640,1.0,0
387990,1.0,1
310560,0.0,0
630,1.0,2
