,id,title,release_date,price,developer,Accounting,Action,Adventure,Animation &amp; Modeling,Audio Production,Casual,Design &amp; Illustration,Early Access,Education,Free to Play,Indie,Massively Multiplayer,Photo Editing,RPG,Racing,Simulation,Software Training,Sports,Strategy,Utilities,Video Production,Web Publishing,release_year
0,761140.0,Lost Summoner Kitty,2018-01-04,4.99,Kotoshiro,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,2018
1,643980.0,Ironbound,2018-01-04,0.0,Secret Level SRL,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,2018
2,670290.0,Real Pool 3D - Poolians,2017-07-24,0.0,Poolians.com,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,2017
3,767400.0,弹炸人2222,2017-12-07,0.99,彼岸领域,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017
4,772540.0,Battle Royale Trainer,2018-01-04,3.99,Trickjump Games Ltd,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2018
5,774276.0,SNOW - All Access Basic Pass,2018-01-04,9.99,Poppermost Productions,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,2018
6,774277.0,SNOW - All Access Pro Pass,2018-01-04,18.99,Poppermost Productions,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,2018
7,774278.0,SNOW - All Access Legend Pass,2018-01-04,29.99,Poppermost Productions,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,2018
8,768800.0,Race,2018-01-04,0.0,RewindApp,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,2018
9,768570.0,Uncanny Islands,Soon..,0.0,Qucheza,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2020
10,770380.0,Army of Tentacles: (Not) A Cthulhu Dating Sim: Black GOAT of the Woods Edition,2018-01-04,10.99,Stegalosaurus Game Development,0,1,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,2018
11,768880.0,Beach Rules,2018-01-04,3.99,Copperpick Studio,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2018
12,765320.0,Planetarium 2 - Zen Odyssey,2018-01-03,2.99,Ghulam Jewel,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2018
13,773650.0,The first thrust of God,2018-01-03,1.59,Apillo,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,2018
14,774271.0,SNOW - Starter Pack,2018-01-03,14.99,Poppermost Productions,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,2018
15,773690.0,The first thrust of God - All Aircrafts,2018-01-03,1.99,Apillo,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,2018
16,774279.0,SNOW - Lifetime Pack,2018-01-03,59.99,Poppermost Productions,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,2018
17,768060.0,The Warrior Of Treasures,2018-01-03,0.99,Tero Lunkka,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2018
18,775880.0,RC Plane 3 - Canyon Scenario,2017-12-22,2.99,FrozenPepper,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,2017
19,775881.0,RC Plane 3 - F-53B,2017-12-23,2.99,FrozenPepper,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,2017
20,653960.0,DinoBlaster,2018-01-03,4.99,Casey Labrack,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2018
21,282010.0,Carmageddon Max Pack,1997-06-30,9.99,Stainless Games Ltd,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1997
22,70.0,Half-Life,1998-11-08,9.99,Valve,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1998
23,752360.0,Fallen Mage,2016-11-25,1.99,dev4play,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,2016
24,520680.0,Lost Cities,2018-01-01,0.0,BlueLine Games,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2018
25,690410.0,Twisted Enhanced Edition,2018-01-01,0.0,Games by Brundle,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2018
26,766850.0,Vaporwave Simulator,2018-01-01,0.99,ETGgames,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2018
27,413120.0,Tactics Forever,2018-01-01,0.0,ProjectorGames,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,1,1,0,0,0,2018
28,773120.0,Christmas Santa Troubles,2017-12-30,0.0,Unknown Indie Devs,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2017
29,754360.0,Underdone - Soundtrack,2018-01-01,8.99,The Commander,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2018
30,716110.0,Bitcoin Clicker,2018-01-01,0.99,"lalalaZero,Urbanoff",0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,2018
31,1640.0,Disciples II: Gallean's Return,2006-07-06,6.99,Strategy First,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2006
32,1630.0,Disciples II: Rise of the Elves,2006-07-06,6.99,Strategy First,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2006
33,2400.0,The Ship: Murder Party,2006-07-11,9.99,Outerlight Ltd.,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,2006
34,662570.0,United Tactics,,0.0,Zachary M Thomas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,NaT
35,381620.0,Life of Rome,2017,0.0,Breakout Studio,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,2017
36,714020.0,Idle Adventure,Beta测试已开启,0.0,"zha7,Phaedruns,Yingke Wu",0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,NaT
37,759920.0,Souland,2017-12-29,7.99,Ultraint,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2017
38,659780.0,Darkness and a Crowd,2018-03-30,0.0,Seth Albertus,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,2018
39,603280.0,TAROTICA VOO DOO,2017-12-29,10.99,TPM.CO SOFT WORKS,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,2017
40,753110.0,Chronicles of Vinland,2017-12-29,9.99,Wonderbox Games,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2017
41,753100.0,Orbitality,2017-12-29,9.99,Wonderbox Games,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2017
42,764280.0,Atomic Adam: Episode 1,2017-12-30,1.99,Mad Unicorn Games,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017
43,758550.0,Mirt. Tales of the Cold Land. Chapter 2,2017-12-29,0.99,Emanon Studios,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2017
44,3800.0,Advent Rising,2005-08-09,9.99,GlyphX Games,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2005
45,1520.0,DEFCON,2006-09-29,9.99,Introversion Software,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2006
46,2420.0,The Ship: Single Player,2006-11-20,9.99,Outerlight Ltd.,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,2006
47,4000.0,Garry's Mod,2006-11-29,9.99,Facepunch Studios,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2006
48,4230.0,RACE - The WTCC Game,2006-11-24,39.99,SimBin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2006
49,4900.0,Zen of Sudoku,2006-12-14,0.0,Unknown Worlds Entertainment,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2006
50,2520.0,Gumboy - Crazy Adventures™,2006-12-19,4.99,"CINEMAX, s.r.o.",0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2006
51,6200.0,Ghost Master®,2003-08-23,4.99,Sick Puppies,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2003
52,6210.0,Vegas: Make It Big™,2006-12-21,4.99,Deepred,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2006
53,6300.0,Dreamfall: The Longest Journey,2006-04-17,19.99,Funcom,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2006
54,2990.0,FlatOut 2™,2006-08-01,9.99,Bugbear Entertainment,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2006
55,6220.0,FlatOut,2005-07-12,7.49,Bugbear Entertainment,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2005
56,6510.0,Lost Planet™: Extreme Condition,2007-06-26,14.99,"CAPCOM Co., Ltd.",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2007
57,3980.0,CivCity: Rome,2006-07-24,9.99,"FireFly Studios,Firaxis Games",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2006
58,1700.0,Arx Fatalis,2002-11-12,4.99,Arkane Studios,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2002
59,6310.0,The Longest Journey,2000-11-17,9.99,Funcom,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2000
60,3990.0,Civilization IV®: Warlords,2006-07-24,4.99,Firaxis Games,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2006
61,7610.0,Railroad Tycoon 3,2003-10-23,9.99,PopTop,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2003
62,7600.0,Sid Meier's Railroads!,2006-10-16,9.99,"Firaxis Games,Feral Interactive (Mac)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2006
63,7620.0,Railroad Tycoon II Platinum,1998-10-31,4.99,PopTop,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1998
64,2540.0,RIP - Trilogy™,2007-06-01,4.99,Elephant Games,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2007
65,7650.0,X-COM: Terror From the Deep,1995-04-01,4.99,"MicroProse Software, Inc",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1995
66,8000.0,Tomb Raider: Anniversary,2007-06-05,8.99,"Crystal Dynamics,Feral Interactive (Mac)",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2007
67,6550.0,Devil May Cry® 3 Special Edition,2006-05-23,19.99,"CAPCOM Co., Ltd.",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2006
68,8200.0,Sam &amp; Max 101: Culture Shock,2006-10-17,19.99,Telltale Games,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2006
69,2290.0,Final DOOM,1996-06-17,4.99,id Software,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1996
70,2570.0,Vigil: Blood Bitterness™,2007-06-29,0.0,Freegamer,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,2007
71,8210.0,Sam &amp; Max 102: Situation: Comedy,2006-12-20,19.99,Telltale Games,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2006
72,2280.0,Ultimate Doom,1995-04-30,4.99,id Software,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1995
73,9160.0,Master Levels for Doom II,1995-06-01,14.99,id Software,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1995
74,2300.0,DOOM II,1994-05-05,4.99,id Software,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1994
75,2270.0,Wolfenstein 3D,1994-08-03,4.99,id Software,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1994
76,9010.0,Return to Castle Wolfenstein,2001-11-20,4.99,Gray Matter Studios,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2001
77,9040.0,QUAKE Mission Pack 1: Scourge of Armagon,1997-02-28,2.99,Ritual Entertainment,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1997
78,9000.0,Spear of Destiny,1993-10-10,2.99,id Software,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1993
79,3810.0,BloodRayne,2003-09-09,9.99,Terminal Reality,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2003
80,9030.0,QUAKE Mission Pack 2: Dissolution of Eternity,2007-08-03,2.99,Rogue Entertainment,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2007
81,2310.0,QUAKE,2007-05-31,4.99,id Software,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2007
82,3230.0,Genesis Rising,2007-03-20,4.99,Metamorf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2007
83,9310.0,"Warhammer® 40,000: Dawn of War® – Winter Assault",2006-01-01,12.99,Relic Entertainment,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2006
84,7670.0,BioShock™,2007-08-21,19.99,"2K Boston,2K Australia",0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2007
85,4570.0,"Warhammer® 40,000: Dawn of War® - Game of the Year Edition",2006-01-01,12.99,Relic Entertainment,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2006
86,4580.0,"Warhammer® 40,000: Dawn of War® - Dark Crusade",2006-10-09,12.99,Relic Entertainment,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2006
87,4760.0,Rome: Total War™ - Collection,2004-09-22,9.99,The Creative Assembly,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2004
88,4770.0,Rome: Total War™ - Alexander,2006-06-26,4.99,The Creative Assembly,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2006
89,50970.0,Mystery Case Files: Madame Fate®,2007-12-14,6.99,Big Fish Games,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2007
90,12170.0,Grand Theft Auto,1998-06-30,0.0,Rockstar North,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1998
91,12180.0,Grand Theft Auto 2,1999-10-25,0.0,Rockstar North,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1999
92,12130.0,Manhunt,2004-04-20,9.99,Rockstar North,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2004
93,12160.0,Midnight Club 2,2003-07-01,9.99,Rockstar San Diego,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2003
94,12150.0,Max Payne 2: The Fall of Max Payne,2003-10-14,9.99,Remedy Entertainment,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2003
95,7000.0,Tomb Raider: Legend,2006-04-07,6.99,Crystal Dynamics,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2006
96,12140.0,Max Payne,2001-07-25,9.99,Remedy Entertainment,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2001
97,17480.0,Command &amp; Conquer: Red Alert 3,2008-10-28,19.99,EA Los Angeles,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2008
98,12500.0,PuzzleQuest: Challenge of the Warlords,2007-10-10,9.99,Infinite Interactive,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2007
99,12310.0,Culpa Innata,2007-10-23,9.99,Momentum Digital Media Technologies,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2007
100,12510.0,Prison Tycoon 3™: Lockdown,2007-08-01,9.99,"Gamebryo,Virtual Playground",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2007
101,12530.0,Hunting Unlimited™ 2008,2007-09-01,9.99,SCS Software,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2007
102,12520.0,18 Wheels of Steel: American Long Haul,2007-12-03,9.99,SCS Software,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2007
103,8100.0,Conflict: Denied Ops,2008-02-08,5.99,Pivotal Games,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2008
104,2780.0,ARMA: Combat Operations,2007-05-08,7.99,Bohemia Interactive,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2007
105,9730.0,Tycoon City: New York,2006-02-21,9.99,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2006
106,9710.0,Desperados 2: Cooper's Revenge,2006-05-02,9.99,Spellbound,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2006
107,9800.0,Death to Spies,2007-10-16,4.99,Haggard Games,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2007
108,9760.0,Act of War: High Treason,2006-05-30,2.99,Eugen Systems,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2006
109,2700.0,RollerCoaster Tycoon® 3: Platinum,2006-10-26,19.99,"Frontier,Aspyr (Mac)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,2006
110,2710.0,Act of War: Direct Action,2005-03-14,2.99,Eugen Systems,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2005
111,13200.0,Unreal 2: The Awakening,2003-02-03,14.99,"Epic Games, Inc.",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2003
112,13250.0,Unreal Gold,1998-04-30,9.99,"Epic Games, Inc.",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1998
113,13000.0,Ninja Reflex: Steamworks Edition,2008-03-21,4.99,Sanzaru Games,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2008
114,13560.0,Tom Clancy's Splinter Cell®,2003-02-18,9.99,Ubisoft,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2003
115,13520.0,Far Cry®,2004-03-23,9.99,Crytek Studios,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2004
116,13240.0,Unreal Tournament: Game of the Year Edition,2000-10-25,9.99,"Epic Games, Inc.",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2000
117,13540.0,Tom Clancy's Rainbow Six® Vegas,2006-12-12,9.99,Ubisoft Montreal,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2006
118,15210.0,Silent Hunter® III,2005-03-15,9.99,Ubisoft,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2005
119,16180.0,Virtual Villagers - The Secret City,2008-05-28,9.99,Last Day of Work,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2008
120,3520.0,Mystery P.I.™ - The Vegas Heist,2008-06-04,4.99,SpinTop Games,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2008
121,15970.0,Luxor,2008-06-10,9.99,MumboJumbo,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2008
122,15950.0,Reaxxion,2008-06-10,9.99,MumboJumbo,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2008
123,15960.0,Little Farm,2008-06-10,9.99,MumboJumbo,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2008
124,15900.0,7 Wonders II,2008-06-10,9.99,MumboJumbo,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2008
125,15910.0,Luxor Amun Rising,2005-12-08,9.99,MumboJumbo,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2005
126,15930.0,Luxor 3,2007-11-13,9.99,MumboJumbo,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2007
127,15160.0,Petz® Horsez® 2,2007-11-13,9.99,Ubisoft,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2007
128,15920.0,Luxor 2,2005-12-08,9.99,MumboJumbo,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2005
129,15080.0,Rayman Raving Rabbids™,2007-03-27,9.99,"Ubisoft Bulgaria,Ubisoft Montpellier",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2007
130,15200.0,Silent Hunter®: Wolves of the Pacific,2007-03-20,9.99,Ubisoft Romania,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2007
131,15320.0,IL-2 Sturmovik: 1946,2006-12-15,9.99,1C: Maddox Games,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2006
132,15240.0,Silent Hunter®: Wolves of the Pacific U-Boat Missions,2008-03-24,9.99,Ubisoft Romania,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2008
133,8310.0,Bone: Out From Boneville,2005-09-15,9.99,Telltale Games,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2005
134,12600.0,Midnight Outlaw: 6 Hours to SunUp,2005-07-02,9.99,"Merscom,Babylon",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2005
135,8320.0,Bone: The Great Cow Race,2006-04-12,9.99,Telltale Games,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2006
136,12590.0,Sprint Cars Road to Knoxville,2008-07-29,9.99,BigAnt Studios,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2008
137,12560.0,Ride! Carnival Tycoon,2007-07-02,9.99,Gabriel Entertainment,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2007
138,12540.0,Mahjongg Investigations: Under Suspicion,2007-08-08,9.99,Zemnott,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2007
